200,Yangpu,Jiangpu Road,31.2772,121.512
201,Yangpu,Anshan Xincun,31.2753,121.504
202,Yangpu,Siping Road,31.2769,121.497
203,Hongkou,Quyang Road,31.2781,121.485
204,Hongkou,Hongkou Football Stadium,31.271392,121.479154
205,Jing'an,North Xizang Road,31.2675,121.467
206,Jing'an,Zhongxing Road,31.2553,121.464
207,Jing'an,Qufu Road,31.2447,121.467
208,Huangpu,People's Square,31.233089,121.473901
209,Huangpu,Dashijie,31.2294,121.473
210,Huangpu,Laoximen,31.22083,121.47833
211,Huangpu,Lujiabang Road,31.2139,121.481
212,Huangpu,South Xizang Road,31.201967,121.489555
213,Pudong,China Art Museum,31.18639,121.49028
214,Pudong,Yaohua Road,31.1803,121.489
215,Pudong,Chengshan Road,31.1722,121.491
216,Pudong,Yangsi,31.1628,121.489
217,Pudong,Oriental Sports Center,31.1553389,121.4757889
218,Pudong,Lingzhao Xincun,31.1425,121.485
219,Minhang,Luheng Road,31.12,121.494
220,Minhang,Pujiang Town,31.0983,121.502
221,Minhang,Jiangyue Road,31.0861,121.504
222,Minhang,Lianhang Road,31.0756,121.506
223,Minhang,Shendu Highway,31.0636,121.507
224,Songjiang,Songjiang South Railway Station,30.986935,121.226362
225,Songjiang,Zuibaichi Park,31.001,121.229
226,Songjiang,Songjiang Sports Center,31.015,121.23
227,Songjiang,Songjiang Xincheng,31.03278,121.22611
228,Songjiang,Songjiang University Town,31.05639,121.22861
229,Songjiang,Dongjing,31.0869,121.226
230,Songjiang,Sheshan,31.10642,121.22533
231,Songjiang,Sijing,31.1328,121.261
232,Songjiang,Jiuting,31.1394,121.314
233,Minhang,Zhongchun Road,31.1503,121.331
234,Minhang,Qibao,31.1569,121.343
235,Minhang,Xingzhong Road,31.1603,121.364
236,Minhang,Hechuan Road,31.166701,121.384818
237,Xuhui,Caohejing Hi-Tech Park,31.1728,121.393
238,Xuhui,Guilin Road,31.1767,121.412
239,Xuhui,Yishan Road,31.186422,121.427615
240,Xuhui,Xujiahui,31.19454,121.4379
241,Xuhui,Zhaojiabang Road,31.2014,121.445
242,Xuhui,Jiashan Road,31.2027,121.461
243,Huangpu,Dapuqiao,31.2075,121.46389
244,Huangpu,Madang Road,31.2114,121.472
245,Huangpu,Lujiabang Road,31.2139,121.481
246,Huangpu,Xiaonanmen,31.2192,121.494
247,Pudong,Shangcheng Road,31.23306,121.50972
248,Pudong,Century Avenue,31.228682,121.527213
249,Pudong,Middle Yanggao Road,31.22972,121.54444
250,Pudong,Fangdian Road,31.233944,121.554306
251,Pudong,Lantian Road,31.243201,121.573755
252,Pudong,Taierzhuang Road,31.255058,121.593795
253,Pudong,Jinqiao,31.263056,121.606716
254,Pudong,Jinji Road,31.266499,121.624716
255,Pudong,Jinhai Road,31.2634,121.6385
256,Pudong,Gutang Road,31.268179,121.652136
257,Pudong,Minlei Road,31.27049,121.663841
258,Pudong,Caolu,31.273402,121.67867
259,Minhang,Hangzhong Road,31.16694,121.34917
260,Minhang,Ziteng Road,31.17111,121.35944
261,Minhang,Longbai Xincun,31.16694,121.34917
262,Minhang,Hongqiao Railway Station,31.193987,121.31891
263,Minhang,Hongqiao Airport Terminal 2,31.193926,121.326508
264,Changning,Hongqiao Airport Terminal 1,31.1933,121.342
265,Changning,Shanghai Zoo,31.19222,121.36306
266,Changning,Longxi Road,31.19583,121.375
267,Changning,Shuicheng Road,31.20111,121.38694
268,Changning,Yili Road,31.20056,121.39944
269,Changning,Songyuan Road,31.19833,121.40722
270,Changning,Hongqiao Road,31.197524,121.420814
271,Xuhui,Jiaotong University,31.2039,121.43
272,Xuhui,Shanghai Library,31.209444,121.438611
273,Huangpu,South Shaanxi Road,31.217863,121.46102
274,Huangpu,Xintiandi,31.21833,121.47
275,Huangpu,Laoximen,31.22083,121.47833
276,Huangpu,Yuyuan Garden,31.2303,121.482
277,Huangpu,East Nanjing Road,31.238101,121.484628
278,Hongkou,Tiantong Road,31.24528,121.47722
279,Hongkou,North Sichuan Road,31.251956,121.483984
280,Hongkou,Hailun Road,31.259368,121.489755
281,Hongkou,Youdian Xincun,31.27028,121.48972
282,Yangpu,Siping Road,31.2769,121.497
283,Yangpu,Tongji University,31.28444,121.50222
284,Yangpu,Guoquan Road,31.29139,121.50556
285,Yangpu,Wujiaochang,31.30028,121.51056
286,Yangpu,Jiangwan Stadium,31.30583,121.50944
287,Yangpu,Sanmen Road,31.3153,121.503
288,Yangpu,East Yingao Road,31.3236,121.502
289,Yangpu,Xinjiangwancheng,31.3303,121.502
290,Pudong,Disney Resort,31.143429,121.663737
291,Pudong,Kangxin Highway,31.1325,121.61306
292,Pudong,Xiuyan Road,31.14028,121.59417
293,Pudong,Luoshan Road,31.1521,121.5937
294,Pudong,Yuqiao,31.158,121.571
295,Pudong,Pusan Road,31.1509,121.5387
296,Pudong,East Sanlin,31.1464,121.5231
297,Pudong,Sanlin,31.1454,121.5079
298,Pudong,Oriental Sports Center,31.1553389,121.4757889
299,Xuhui,Longyao Road,31.16,121.4592
300,Xuhui,Yunjin Road,31.166348,121.458495
301,Xuhui,Longhua,31.1724,121.4524
302,Xuhui,Shanghai Swimming Center,31.179,121.441
303,Xuhui,Xujiahui,31.19454,121.4379
304,Xuhui,Jiaotong University,31.2039,121.43
305,Changning,Jiangsu Road,31.220411,121.430642
306,Putuo,Longde Road,31.229601,121.42128
307,Putuo,Caoyang Road,31.239712,121.418413
308,Putuo,Fengqiao Road,31.24185,121.411402
309,Putuo,Zhenru,31.252739,121.402545
310,Putuo,West Shanghai Railway Station,31.264718,121.396192
311,Putuo,Liziyuan,31.26902,121.389969
312,Putuo,Qilianshan Road,31.27165,121.376035
313,Putuo,Wuwei Road,31.276646,121.364678
314,Putuo,Taopu Xincun,31.281809,121.35031
315,Jiading,Nanxiang,31.296952,121.323141
316,Jiading,Malu,31.319675,121.276906
317,Jiading,Jiading Xincheng,31.330841,121.254044
318,Jiading,Baiyin Road,31.34694,121.24056
319,Jiading,West Jiading,31.37889,121.22306
320,Jiading,North Jiading,31.3933,121.232
321,Jiading,Shanghai Circuit,31.331898,121.226098
322,Jiading,East Changji Road,31.29362,121.200384
323,Jiading,Shanghai Automobile City,31.28722,121.17611
324,Jiading,Anting,31.29028,121.15694
